nppes_provider_state,bene_count,total_claim_count,total_day_supply,total_drug_cost
AA,,1172,19034,19937.62
AE,,17776,749138,1298107.15
AK,,1028845,30359715,79856397.38
AL,,26153664,1026160858,1980522262.32
AP,,2579,57887,82276.8
AR,,16104810,571016599,995697663.85
AS,39,39,397,399.48
AZ,,20631053,928676852,1766589057.42
CA,,117560079,,10854261550.32
CO,,13367435,595387361,1177699815.84
CT,,13507800,578098686,1420382987.09
DC,,1509939,58888808,228899308.02
DE,,3179869,158309718,351882994.08
FL,,93512058,,7837675826.31
GA,,40795205,1494166679,3172814896.44
GU,,74449,2543318,2651634.15
HI,,3557684,165115361,352409932.52
IA,,14886009,587458984,939793322.72
ID,,5111031,218752883,394152390.21
IL,,43912516,1825311985,3453095646.37
IN,,28587471,1200165770,2366412920.94
KS,,12337750,475019990,877794708.76
KY,,26916856,996606290,1877179604.75
LA,,23184750,853633168,1825217547.11
MA,,26895125,1073449143,2296282407.31
MD,,14666986,669564171,1544180834.37
ME,,5650455,257230049,496236453.23
MI,,40990288,1875814112,3691476089.99
MN,,17690438,816742608,1409691296.96
MO,,31941836,1211035891,2433528903.44
MP,,8799,259848,355945.46
MS,,16181609,561846132,1068750544.01
MT,,3336901,138997796,262279197.85
NC,,46487685,1784258380,3756549290.68
ND,,3074296,126096477,216941477.16
NE,,8139574,299439142,557189526.67
NH,,4463966,191916951,376366278.97
NJ,,30107364,1305803265,3238371123.31
NM,,6038507,259121035,463118881.53
NV,,7811171,343472446,641405888.79
NY,,80965705,,8458664904.68
OH,,54864240,,4472858906.63
OK,,15088817,604339940,1192744370.38
OR,,14129596,613695090,1088710518.3
PA,,63847291,,5402145311.82
PR,,25917161,843076189,1118801054.07
RI,,5487386,200164810,373214003.38
SC,,22468884,878928647,1834723870.08
SD,,3569868,139137957,260259709.68
TN,,36237464,1404990358,2736927728.52
TX,,77495767,,7151105906.8
UT,,6218854,274033221,510455040.66
VA,,26266018,1086885907,2061223170.42
VI,,202074,6659717,11451994.75
VT,,2199560,100471725,194572353.99
WA,,19644857,852764960,1592454498.57
WI,,21808084,961838534,1753192333.14
WV,,11498056,438037314,838140126.49
WY,,1411894,57855733,98686981.26
XX,,10289,520911,669875.84
ZZ,,37968,1413293,2519136.43
